ip_armies_size|Ordunun Büyüklüğü
ip_tactical_controls_text|Bir bölme seçmek için NUMARALAR klavyesini kullanın. Tüm gücünüzü seçmek için 0'a basın. ^^ Seçilen bölümleri sipariş etmek için F1-F4'ü kullanın. Seçilen bölümleri yerleştirmek için F1 tuşunu basılı tutun. Bu mekanizma aracılığıyla bir düşman bölümünü hedefleyebilirsiniz. ^^ GİRİŞ tuşuna basmak, genellikle bir baş üstü Strateji Kamerasını başlatır. (4 veya daha fazla sürüş becerisi gerektirir). ^^ Z tuşuna basılması Crouching'i etkinleştirir. ^^ Oyun için tuşunu basılı tutarak Action için oyun tuşunu savunmak ve tuşuna basmak bir Shield Bash uygular. Trait, T tuşuna basmak onu aktive eder. ^^ Multiplayer'da Q tuşunu basılı tutup Savunma tuşuna basmak rakiplerinizi alay etmenize izin verir. '
ip_division_placement|Division Placement
ip_division_placement_text|BİR bölme seçildiğinde, ön rütbenin merkezi belirtilen noktaya yerleştirilir. ^^ MANY bölümleri seçildiğinde, ayrılan ve oyuncu belirtilen noktada durmuş gibi yayılır. oyuncuya göre seçilen bölümlerin F2, F7 tuşlarına basarak yerleştirilmesi. Varsayılan ayar, piyade sola, süvari sağa ve ileri doğru uzanıyordu. Oyuncunun şahsen seçtiği tüm bölümler için yerleştirme geçersiz kılınır, Formasyon Seçenekleri menüsünden. ^^ Kamp menüsü oyun seçeneği belirlenirse, bölümler düşmanla yüzleşmek için döner. Aksi takdirde, oyuncunun yerleştirildiği sırada sahip olduğu yüzü koruyacaktır.
ip_formations|Oluşumlar
ip_formations_text|Savaş menüsündeki karmaşık oluşumlar şunlardır:^^ - en iyi askerlerle ön sırada yer alır^ - Kalkan duvarı, öndeki kalkanlarla ve arkada daha uzun silahlarla sıralanır^ - en iyi askerlerle ön sırada kama^ - belirli bir sırada Kare^ - hiçbir oluşum^^son durumda bile, oyuncu yeterince yakın zamanlarda ayakta sipariş ederek dört satıra kadar oluşumlar yapabilir.
ip_dog_companion|Köpek Arkadaşı
ip_dog_companion_text|Dolaşırken kendi düşüncelerinizde kaybolurken, aniden bir köpek havlaması duyuyorsunuz. Neyse ki, yanınızda bir parça sosis var. Bu bir arkadaşlığın başlangıcı. Köpek, savaş alanında bile yanınızdan ayrılmayacak ve yakında bir isim kazanacak. ^ Savaş alanında, köpeğiniz 9. bölüme yerleştirildi. Köpek arkadaşınızın yetenekleri ve yetenekleri, ona iyi yemek vererek geliştirilebilir.
ip_rents|Kiralık
ip_rents_text|Sahip olduğunuz her yer kira üretir. Kiralar uzun vadede ortalama olarak haftalık olarak ödenir, ancak ödeme sıklığı değişkendir. Bazı haftalarda ödeme alabilirsiniz, bazılarında ise hiçbir şey alamazsınız. Ödeme paydate tarafından gerçekleştirilmediyse, bütçenizdeki giriş kiraların ödenmediğini belirtir. Köy yağmalandıysa veya kale ya da kasaba yağmalandıysa, bütçenizdeki girdiler kira kiralamayacağını belirtir. Köy / kale / kasaba normal durumuna döndüğünde, kira ödemelerini işlemeye başlayacaklar. Kiralar, uzlaşmanın refahı, özel binaların varlığı, dini yapı, vergi oranı ve zorluk ortamından da etkilenir. Özel binalar, yağma yapılmış olsa bile kiralar üretmeye devam edecek.
ip_quarters|Kışla
ip_quarters_text|Çeyrek birliklerinizden bazılarını harita üzerinde belirli bir yere bırakmanızı sağlar. İki çeyreğe kadar zamanınız olabilir. ^^ Çeyrekleri faydalı kılan birkaç senaryo var: ^ - Bir tekneye seyahat etmeniz gerekiyorsa, ancak tüm birlikleriniz için geçiş ücreti ödeyemiyorsanız ^ - Sizin kapasiteniz varsa filo bütün birliklerinizi aynı anda taşıyabilecek kadar büyük değil ^ - Bir şehre gizlice girmek istiyorsanız ^ - Dünya haritası üzerinde daha hızlı seyahat etmek istiyorsanız
