qstr_Breaking_camp...|Yeni kamp...
qstr___His_hands_move_qui|--Düşüncelerini açıklarken elleri hızlı hızlı hareket eder.--
qstr_{s10}_needs_to_recov|Sigurd 'Snake in the Eye' tarafından Danimarka soylularını kurulda kendi tarafına çekmeyi önlemek için {s10}{.nin} Bodo'nun mektubunu geri alması gerekir. {s10} sana mektubun Sigurd'ın Atli adında bir adamda olduğunu söyledi. Ancak, Atli {s3}'den bir süre önce ayrıldı ve kimse akıbetini bilmiyor. Bu durumu {s3} liman başkanıyla konuşmalısın.
qstr_{s10}_suggested_that|{s10} sana Ulf'u toplantıda sana karşı tanıklık etmeyeceğine ikna etmen için konuşmanı önerdi. Ayrıca {s10}, Danimarka beyleri ile ilişkilerini iyi tutmanın (15 ilişki puanından fazla) böylece onların da senin tarafında yer alacağının iyi bir fikir olduğunu söyledi.
qstr___Egil_walks_away_wi|--Egil Kral Horik ile uzaklaşır ve onların sessizce konuştuklarını görürsün. Sonra Kral Horik gider ve Egil yanına gelir.--
qstr_Note_Egil:_You_chose|Not Egil: Adamların arasında Egil'in {s9}{.nin} casusu olduğunu görmezden gelmeyi seçtin.
qstr_Reginhard_thinks_that|Egil'in ihanetini cezalandırmadığın için Reginhard senin zayıf bir lider olduğunu düşünüyor.
qstr_Your_men_think_that_you_are|Adamların senin ihanete izin veren zayıf bir lider olduğunu düşünüyor.
qstr___Brunhild_s_eyes_ar|--Brunhild'i gözleri birer gözyaşı pınarı.--
qstr___She_runs_away_from|--Senden kaçıyor.--
qstr___He_seems_hurt_puts_|--İncinmiş görünüyor, elini kalbine koyup gözlerinin içine bakıyor.--
qstr_Note_Egil:_You_warn_|Not Egil: Egil'i adamlarının içinde {s9}{.nin} casusu olduğu için kuruldan sonra birliğinden ayrılması için uyarıyorsun.
qstr_Note_Egil:_You_warn_E|Not Egil: Egil'i adamlarının içinde {s9}{.nin} casusu olduğu ve Brunhild'in kalbini kırdığı için kuruldan sonra ölümüne bir düelloya gireceğin konusunda uyarıyorsun.
qstr___He_looks_worried._|--Endişeli görünüyor.--
qstr_Things_being_as_they|Her şey olması gereken gibi, ben bir şey yapamam. (Sakin)
qstr_I_see._I_don_t_know_|Anlıyorum. Ne diyeceğimi bilmiyorum. (Mekankolik)
qstr_Guthrum_s_dead_but_w|Guthrum öldü fakat biz ölmedik. İnan bana bundan kurtulmanıza yardım edeceğim.  (Fevri)
qstr_Nothing_is_lost._We_|Hiçbir şey kaybolmadı. Siguard'ın şimdiye kadarki tüm planlarını bozduk. (İyimser)
qstr_Yes_the_Norns_that_s|Evet, kaderimiz bizimle oynuyor. Umarız sonraki hamleleri bize yardım eder.
qstr_Don_t_worry_about_it|Onun için endişelenme. Seninle karmaşık konuları konuşmaya çalışmamalıyım. 
qstr_I_m_not_so_sure._You|Tam emin değilim. Danimarka'da oluşun bana bazı faydalar sağladı fakat  diğerleri çok sayılmaz.
qstr_We_ll_see._Sigurd_is|Göreceğiz. Sigurd Ragnar'ın çocukları arasında en kurnazıdır.
qstr___Harald_seems_tense|--Harald gergin görünüyor, yüzü sert ve gözleri dikkatli. Beyini gölgesi kadar yakın koruyor.--
qstr___Sven_Bull_Neck_app|--Boğa Boyunlu Sven lider olmak için doğmuş kararlı ve güvenli biri gibi görünüyor. Uzun boylu, güçlü ve güçlü bir sesi var. Sonunda onu yüz yüze gördün. Woden Ric'e saldırıp anneni kaçırdığındaki hatırladığın hali gibi görünüyor. Nihayet şu an tam önündeki adam sana bu kadar zararı veren kişi.--
qstr___Sven_Bull_Neck_has|--Boğa Boyunlu Sven gözleri yaşlı suçlayan bir parmak işaretiyle seni gösterir.--
qstr_The_judges_nod_at_th|Hakim Boğa Boyunlu Sven'in sözlerini onaylıyor. Bu senin durumunu daha karmaşık hale getiriyor.
qstr___Egil_whispers.__|--Egil fısıldar.--
qstr___One_judge_near_the|--Büyük kayanın yanındaki bir hakim önce Sven ve Sigurd'a, sonra sana ve Kral Horik'e bakar. Sonra konuşur.--
qstr_The_judges_nod_at_yo|Hakim sözlerini onaylar. Durumun gözlerinin önünde iyileşiyor görünüyor.
qstr___Sven_Bull_Neck_smi|--Boğa Boyunlu Sven gülümser.--
qstr___Egil_comes_forward|--Egil yargıçların önüne gelir.--
qstr___The_judges_confer_|--Hakimler bir dakikalığına aralarında konuşur ve sonra sözcü konuşur.--
qstr_The_judges_nod_at_the|Hakimler Egil'in sözlerini onaylıyor. Bu senin durumunu gözün önünde iyileştiriyor.
qstr_The_judges_shake_the|Hakimler başlarını sallıyor. Bu senin durumunu gözün önünde iyileştiriyor.
qstr_I_know_{playername}_|{playername}'i tanırım, onun masumiyeti üzerine kendimi ateşe atarım.
qstr_The_judges_nod_at_hi|Hakimler onun sözlerini onaylıyor. Bu senin durumunu gözün önünde çokça iyileştiriyor.
qstr_In_my_opinion_{playe|Benim fikrimce, {playername} masum.
qstr_The_judges_nod_at_his|Hakimler onun sözlerini onaylıyor. Bu senin durumunu gözün önünde çokça iyileştiriyor.
qstr_I_do_not_have_enough|Onun lehine ya da aleyhine karar vermeye yetecek bilgim yok.
qstr_In_my_opinion_{player|Benim düşünceme göre Ak Saçlı Olvir'in öldürülmesinde {playername} suçlu.
qstr_The_judges_nod_at_his_|Hakimler Boğa Boyunlu Sven'in sözlerini onaylıyor. Bu senin durumunu daha karmaşık hale getiriyor..
qstr___The_judges_confer_a|--Hakimler uzun bir süre aralarında konuşur ve sonra sözcü konuşur.--
qstr___Sigurd_steps_forwa|--Sigurd herkesin dikkatini çekerek öne çıkıyor. Saygı duyulan ve korkulan biri ve babasının gölgesi hala üzerinde.--
qstr___While_Sigurd_conti|--Sigurd konuşmasına devam ederken Harald Kral Horik'e yaklaşıyor, yüzü gergin ve ses tonu yumuşak.--
qstr___Egil_moves_his_han|--Egil ellerini telaşla hareket ettiriyor, alnında ter damlaları görünüyor.--
qstr_Your_men_think_that_you_are_|Adamaların senin harika bir lider olduğunu düşünüyor.
qstr_Do_not_rush_to_actio|Hemen harekete geçmeyin Kral Horek. Sigurd'un hiçbir şeyi yok; Atli öldü. Mantığı bırakıp yalnızca duygularıyla konuşan Egil'i dinlemeyin. (Bilgelik)
qstr_We_will_be_allowed_t|Sigurd'a cevap vermeye iznimiz olacak ve kurulun adaletine güvenebileceğiz. (Cesaret)
qstr_Egil_this_is_the_tim|Egil, artık babana soğukkanlılığının gücünü gösterme vakti. (Ölçülülük)
qstr_I_would_accept_my_pu|Suçlu olsaydım kuruldan önce biran bile duraksamadan cezamı kabul ederdim fakat suçlu değilim. (Adalet)
qstr_You_speak_wisely._I_|Akıllıca konuşuyorsun. Sözlerini onaylıyor ve sana katılıyorum. Kurulun saygısını kaybettirecek hiçbir şey yapmamalıyız. Güç dengesi çok hassas ve burada soylular çok önemli. Sigurd bize karşı ne sunacak görmemiz gerek.
qstr_The_Assembly_s_decis|Kurulun kararı taraflar arasındaki gücün konumuna dayalı olacak. Bu yüzden kurulun saygısını kaybettirecek hiçbir şey yapmamalıyız. Güç dengesi çok hassas ve burada soylular çok önemli. Sigurd bize karşı ne sunacak görmemiz gerek.
qstr_Egil_listen_to_{play|Egil, {playername}'i dinle ve öğren. Kurulun saygısını kaybettirecek hiçbir şey yapmamalıyız. Güç dengesi çok hassas ve burada soylular çok önemli. Sigurd bize karşı ne sunacak görmemiz gerek.
qstr_You_are_right._Moreo|Haklısın. Dahası kurulun saygısını kaybettirecek hiçbir şey yapmamalıyız. Güç dengesi çok hassas ve burada soylular çok önemli. Sigurd bize karşı ne sunacak görmemiz gerek.
qstr___Sigurd_s_face_seem|--Sigurd'un yüzü serinkanlı görünüyor. Hatta beden hareketleri kralı tahtından indirecek bir konuşma yapacak olmasına rağmen çok kontrollü.--
qstr___Everyone_starts_ta|--Herkes Siguard'ın sözlerini konuşmaya başlar. Havayı gerginlik sarar. Nihayet hakim sessizlik ister.--
qstr___King_Horik_s_face_|--Kral Horik'in yüzü mosmor.--
qstr___Reginhard_seems_un|--Tüm gözler ona çevrilince Reginhard rahatsız olmuş görünüyor. Özellikle senin bakışlarından kaçmaya çalışıyor.--
qstr___Egil_suffers_a_ner|--Egil sinir krizi geçirip bağırır.--
qstr___Reginhard_looks_sa|--Reginhard üzgün görünüyor.--
qstr_The_judges_nod_at_the_|Hakimler onun sözlerini onaylıyor. Bu senin durumunu daha karmaşık hale getiriyor.
qstr___Reginhard_looks_do|--Reginhard yere bakar ve sessizce konuşur.--
qstr_I_have_always_treate|Sana her zaman iyi davrandım. Ne olduğunu anlamıyorum. (Sakin)
qstr_You_know_that_I_had_|Tiaderd, Olvir veya başka biri, seçeneğim olmadığını biliyorsun. (Melankolik)
qstr_Wherever_you_may_hid|Şu saatten sonra nerede saklanırsan saklan seni bulup öldüreceğim. (Fevri)
qstr_You_betrayed_Thiader|Önce Thiaderd'e ihanet ettin, şimdi de bana ediyorsun. Allahın belası! (Neşeli)
qstr_What_happened_is_tha|Olan şu ki Thiaderd öldü ve ben bununla yaşamak zorundayım. Şimdi en azından intikamının alınacağını biliyorum.
qstr_I_m..._sorry._I_do_w|Ben... üzgünüm. Yapmam gerekeni yaptım.
qstr_I_do_not_think_so._W|Ben öyle düşünmüyorum. Birbirimizi bir daha asla görmeyeceğiz. Bir çiftliğe, bir eşe ve beyin korumasına sahibim. Sense ya bir ölü ya da kaçak olacaksın.
qstr_I_am_damned..._For_t|Lanetlendim... Bu yüzden senden ve ya Friese'den uzakta yeni bir hayata başlamam gerek.
qstr___King_Horik_clears_|--Kral Horik boğazını temizliyor.--
qstr___For_a_few_seconds_|--Bir kaç saniyeliğine, Sigurd soğukkanlılığını kaybediyor.--
qstr_The_judges_nod_at_you|Hakimler sözlerini onaylıyor. Bu durumunu senin gözünde iyleştiriyor. 
qstr_The_judges_seem_anno|Hakimler sinirli görünüyor.
qstr___Sigurd_Ragnarsson_|--Sigurd Ragnarsson Sven'i geri itip yerine geçiyor.--
qstr_Your_men_think_that_you_are_a|Egil'in ihanetini cezalandırmadığın için adamların senin zayıf bir lider olduğunu düşünüyor.
qstr_The_Assembly_has_dec|Kurul Reginhard'ın yalan söylemekten suçlu olup olmadığına karar vermek için ölümüne bir düello kararını verdi. Sen, ihaneti ve seninle kralın adınızı lekelemesinin cezasını vermek için Reginhard'ı almayı seçtin.
qstr_The_Assembly_has_decr|Kurul Reginhard'ın yalan söylemekten suçlu olup olmadığına karar vermek için ölümüne bir düello kararını verdi. Sen, ihaneti ve seninle kralın adınızı lekelemesinin cezasını vermek için Reginhard'ı almayı seçtin.
qstr_The_Assembly_has_decre|Kurul Reginhard'ın yalan söylemekten suçlu olup olmadığına karar vermek için ölümüne bir düello kararını verdi. Sen Reginhard'ı savunup Egil'e karşı dövüşmeyi seçtin. 
qstr_Your_men_think_that_you_are_a_|Adamların bir şamar oğlanı olmayı kabul ettiğin için zayıf bir lider olduğunu düşünüyor.
qstr___He_clears_his_throa|--Boğazını temizler.--
qstr_The_Assembly_has_decree|Kurul senin Danimarka'nın Englaland'a, Ragnar'ın oğullarına destek için göndereceği donanmaya katılmana karar verir. Düello biter bitmez, yendiğini varsayarak, {s3} salonunda Asbjorn ile buluşmalısın.
qstr___Another_judge_take|--Başka bir hakim gelir. Gözleri sana takılana kadar iki tarafı da gözden geçirir. --
qstr___King_Horik_quickly|--Kral Horik hızlıca Sigurd'un hareketlerine karşı daha fazla kontrol elde eder.--
qstr___Sigurd_Ragnarsson_s|--Sigurd Ragnarsson ne memnuniyet ne de memnuniyetsizlik belirtisi gösterir.--
qstr___Aelfred_of_West_Se|--Batı Seaxeli Aelfred küçük bir adam, kemikli, düz saçlı ve çıkık çeneli biri. Diğer adamlar kadar dayanamaz ama görünüşünde dikkate değer bir şey var.--
qstr___He_takes_the_letter|--Mektubu alıp yavaşça okuyor. Bitirince sana bakıyor.--
qstr_Your_men_think_that_you_r|Adamların Bjorn ile anlaşmanıza saygısızlık ederek Saksonların verdiği bilgilere güvendiğini düşünüyor.
qstr_Your_men_think_that_you_h|Adamların Bjorn'a vermiş olduğun söz doğrultusunda cesurca davrandığını düşünüyor. 
qstr___His_face_tired_and|--Yorgun ve kirli yüzü haberlerle sanki biraz neşelenmiş gibi parlıyor.--
qstr_The_morale_of_the_de|Sözlerinle savunmacıların moralleri iyileşiyor.
qstr___His_face_thin_and_|--Zayıf ve kirli yüzü bu kadar uzun bir seferden sonra daha da yorgun görünüyor.--
qstr_The_morale_of_the_def|Sözlerinle savunmacıların moralleri kötüleşiyor.
qstr___His_face_shows_ala|--Yüzü alarm verir.--
qstr___Three_men_well_arm|--Üç adam, üç donanımlı savaşçı, siz konuşurken yanınıza yaklaştı.--
qstr___Ivar_looks_at_you_|--Ivar zekadan parlayan gözlerle sana bakar, süzer ona sağlayacağın yarar ve zararı anlamaya çalışır.--
qstr___Ivar_looks_at_you_w|--Ivar sana donuk gözlerle bakar, sözlerinin şaka olup olmadığını ölçer. Dudakları zalim bir sırıtışa döner ve keskin hatlı yüzü sertleşir. Bir şey söyleyecek gibidir ama sonra susar. Bunun iyi mi yoksa seni düşmanları listesine mi eklediğini bilmiyorsun.--
qstr___Ivar_looks_at_you_wi|--Ivar seni inceler ve değerlendirirken donuk gözlerle bakar.--
qstr___Ivar_smiles_but_th|--Ivar gülümser ancak bu gülümseme çok da dostça değildir. İnce dudakları aynı zamanda hem küçümseme hem tehdit barındırarak hafifçe kıvrılır.--
qstr_Return_to_{s11}_and_|{s11}'e geri dön ve kardeşlerinin Saxonslarla buluşmayı kabul ettiğini söyle.
qstr___He_takes_you_aside|--Seni kenara çeker, dudakları aşağı kıvrılır, yüzüz koyu kırmızıdır ve öfkeyle sana bakar.--
qstr___He_looks_carefully|--Birkaç saniye sana dikkatlice bakar, kötülük bürümüş gözleriyle seni izler.--
qstr___He_looks_suspiciou|--Sana şüpheyle bakıyor.--
qstr_Collect_more_than_tw|Sigurd Ragnarsson için iki yüzden fazla adam topla.
qstr_Collect_two_hundred_|{s11} için iki yüzden fazla adam topla.
qstr___He_looks_surprised|--Şaşırmış görünüyor.--
qstr_You_don_t_trust_me!_|Bana güvenmiyorsun! Anlıyorum, ama annemi görmem benim için çok önemli. Boğa Boyun Sven, seyahat ettiğim gemiye saldırdı ve annemi kaçırdı. Taşıdığı nesne yüzünden onu yanılttı. (Sakin)
qstr_I_think_you_misunder|Sanırım beni yanlış anladın. Buradan annem olmadan gitmiyorum. İçinde bulunduğum gemiye  Boğa Boyunlu Sven saldırdı ve annemi rehin aldı. Taşıdığı bir eşya nedeniyle annemi başkasıyla karıştırdı. (Melankolik)
qstr_I_m_not_an_ordinary_|Ben de sıradan biri değilim. Bırakın da annemi ve Sven Bull Neck'i göreyim ya da en azılı düşmanınız olacağım. İçinde bulunduğum gemiye Boğa Boyunlu Sven saldırdı ve annemi rehin aldı. Taşıdığı bir eşya nedeniyle annemi başkasıyla karıştırdı. Nerede o? (Fevri)
qstr_I_think_that_we_have|Sanırım kötü bir başlangıç yaptık. Bana Boğa Boyunlu Sven'in nerede olduğunu söyle ben de canını daha fazla sıkmayayım. Sadece annemi bulmak istiyorum. İçinde bulunduğum gemiye Boğa Boyunlu Sven saldırdı ve annemi rehin aldı. Taşıdığı bir eşya nedeniyle annemi başkasıyla karıştırdı. (Neşeli)
qstr_Your_mother_is_the_w|Annen şu tanrıların kutsadığı kadın mı? Evet, Sven onu bana getirdi ve denizaşırı ülkelerden gelen, durdurulması gereken bir mektup taşıyordu. Onunla konuştum, evet... Woden Ric adında bir gemide mektubu ona veren Bodo adında birinden bahsetti. Bu adı biliyor musun? 
qstr_You_destroy_my_plans|Sen benim Doccinga'daki planlarımı mahvettin ve şimdi de beni tehdit mi ediyorsun? Ya tam bir gerizekalısın ya da annen gibi delirmişsin. Hala söyleyeceklerinle ilgili olduğum için şanslısın. Evet, Sven bana tanrıların istediği bir kadın getirdi ve sorduğum gibi kadın bir şey taşıyordu, denizaşırı yerlerden bir mektup. Onunla konuştum evet... Woden Ric adında bir gemide kendisine mektubu veren Bodo adında birinden bahsetti. Bu adı biliyor musun?
qstr_Your_mother_is_the_wo|Annen şu tanrıların kutsadığı kadın mı? Evet, Sven onu bana getirdi ve denizaşırı ülkelerden gelen, durdurulması gereken bir mektup taşıyordu. Onunla konuştum, evet...Woden Ric adında bir gemide mektubu ona veren Bodo Vimaraniz adında birinden bahsetti. Bu adı biliyor musun? 
qstr___He_looks_at_you._H|--Sana bakıyor. Gözleri, sert mizacı ve hatta yüzündeki çizgiler bile aşırı ciddiyet sergiliyor.--
qstr_{s9}_accepted_your_d|{s9} accepted your deal. You gave Bodo to him, and he told you he would send Sven Bull Neck and your mother to a farm near {s3}.
qstr_{s9}_has_proposed_a_|{s9} bir teklif önerdi: Bodo ile Boğa Boyunlu Sven ve anneni {s3} yakınında bir çiftlikte takas.
qstr_Note_Bodo:_you_chose|Not Bodo: Bodo'ya sadık olmayı ve çiftliğe karşılık onu Sigurd'a teslim etmemeyi seçtin.
qstr_Note_Bodo:_you_chose_|Not Bodo: Annenle takas için Bodo'yu {s11}{.e} götürmeyi seçtin.
qstr_Sven_is_my_goal_too.|Sven benim de hedefim. Ben de ava katılmak istiyorum. (Sakin)
qstr_Sven_is_mine!_I_want|Sven benimdir! Onu ölü istiyorum! Ava katılmalıyım. (Hüzünlü)
qstr_No_you_listen_to_me!|Hayır, beni dinle! Sven'e yaptılarının bedelini ödetmek istiyorum. Bana adamları verin! (Fevri)
qstr_Yes!_Those_are_just_|Evet! Bunlar duymak istediğim kelimeler. Ona denizde saldır! (İyimser)
qstr_Your_goal?_Who_are_y|Hedefin? Sen kimsin? Gemin ve adamın var mı?
qstr_Yours?_Sven_is_a_mur|Senin? Sven bir katil ama aptal değil. Bizi bekliyor olacak ve adamları deneyimli Viking. Ona saldırmak istersen durma ama umarım adamların ve gemilerin vardır.
qstr_Beware!_You_may_be_i|Dikkatli ol! Benim evimde olabilirsin ancak misafirperverliğimin de bir sınırı var. Sözlerine dikkat et!^^Böylesi bir sefere çıkmak için kendi adamların ve gemilerin olamlı. 
qstr_Your_enthusiasm_glad|Bu coşkulu halin beni mutlu ediyor. Keşke adamlarımda aynı şekilde düşünse fakat onlar  Sven'den çok korkuyor. Bu av için kaç tane adam ve gemi getirebilirsin?
qstr___He_looks_into_your|--Şaşırmış bir halde gözlerine bakar.--
qstr_This_hunt_is_my_life|Avlanmak benim hayatımdır beyim. Çok dirençli olabilirim. (Sakin)
qstr_Sir_I_have_lost_ever|Beyim her şeyimi kaybettim... Şimdilik uğruna yaşayabileceğim yalnızca intikam var... (Hüzünlü)
qstr_I_shall_not_leave_un|Sen bana bir şans verene kadar ayrılmayacağım. Ve sen bu şansı verene kadar kapında oturacağım. (Fevri)
qstr_You_just_cannot_see_|şu anda bunu göremiyorsun ama bana ihtiyacın var beyim. Ben Sven'den korkmuyorum! (iyimser)
qstr_Alright!_Alright!_I_|Pekala! Pekala! Görüyorum... Benim bir fikrim var. Dinleyin.
qstr_Oh_by_Thor!_This_isn|Oh, Thor aşkına! Buna hiç gerek yok, değil mi {reg59?woman:man}? Pekala sana bir şans vereceğim.
qstr_Yes_yes_you_are_very|Evet, evet, çok ciddisin. Peki, benim fikrim var.
qstr_Someone_who_is_not_a|Sven'den kormayan aptal olmalıdır fakat belki de ben sana değerini göstermen için bir şans vermeliyim.
qstr_You_have_offered_you|Boğa Boyunlu Sven'in aranmasına katılmana izin vermelerine karşılık hizmetlerini {s11}'e sundun. {s1} değerini kanıtlamanı istedi.
qstr___He_makes_the_sign_|--Kötü talihi uzaklaştırmak için Odin nişanı yapıyor.--
qstr_{s11}_wants_the_prob|{s11} yakındaki manastırda toprak sorununun çözülmesini istiyor. {s3} yakınındaki Willibrord Manastırının başrahibi ile konuş.
qstr_Note:_The_jarl_has_a|Not: Soylu bunun çıkarlarına en uygun şekilde, rahipler üzülmeden çözülmesini istiyor. 
qstr_{s9}_sent_you_to_rec|{s9} seni Friese köyleri ve şehirlerinden 15 adam toplaman için gönderiyor. Bu gücü topladığın zaman geri gelip onunla konuş.
qstr_{s11}_wants_Thiaderd|{s11} Thiaderd'in ölüsünü istiyor. Reginhard ile {s3}{.nin} salonunda buluşman gerekiyor. Thiaderd'in nerede saklandığını biliyor.
qstr___His_eyes_show_joy_|--Gözleri neşeli bakıyor ve güvenle sırtını sıvazlıyor.--
qstr_{s11}_told_me_that_S|{s11} bana Boğa Boyunlu Sven'in Sigurd 'Yılan Göz' Ragnarsson'un işçisi olduğunu söyledi. Danimarka'ya gideceksem {s9} ile konuşmalıyım. 
qstr_Your_king_has_not_wr|Kralın bana yanlış yapmadı ama sen yaptın. Öyle görünüyor ki Sven'i avlamamda bana yardım edemezsin. (Sakin)
qstr_Every_time_I_finish_|Ne zaman bir görevi tamamlasam hemen yeni bir tane buluyorsun! Bu arada Sven hayatta. (Hüzünlü)
qstr_Jarl?_You_promise_mu|Soylu? Çok fazla vaad ediyorsun ama kralın da bu bilgi için aynı şeyi veryiyor. (Fevri)
qstr__Jarl?__I_like_that_|'Soylu?' Bunu sevdim fakat tüm kirli işleri yaparsam 'kral' daha iyi olur! (İyimser)
qstr_I_can_only_help_you_|Sana ancak sen bana yardım edersen yardım edebilirim. Kolay ama ben kral değilsem Sven'i avlamak için ordu ya da kaynağım olmaz. Sen karar ver.
qstr_The_difference_is_th|Fark şu ki artık güvenimi kazandın ve senden son bir şey istiyorum: Kralı öldür ve Sven senindir.
qstr_The_king_will_not_be|Onun için bir yabancı olduğundan kral sana inanmayacak. Eğer tek kelime edersen senin bir yalancı olduğunu söylerim ve öldürülmeni emreder.
qstr_I_admire_your_ambiti|Azmine hayranım ama burada yalnız bir kral olabilir. Ve Friese'deki Danimarkalılar sadece benim gibi bilinen ve güvenilen birini kabul eder.
qstr_{s11}_wants_me_to_ki| {s3} tahtına yükselmek ve bana Sven'i avlamam için adam ve kaynak vermek için {s11} benden kralı ve öz amcası {s9}{.i} öldürmemi istedi.
qstr_{s11}_wants_me_to_kil| {s3} tahtına  ulaşabilmek ve bana Sven'i avlamam için adam ve kaynak vermek için {s11} benden kralı ve öz amcası {s9}{.i} öldürmemi istedi. 
qstr_Note_3:_You_have_cho|Not 3: Sana ihanet edip Sven'in patronu {s11} ile ittifak olduğu için {s9} ile düşman olmayı seçtin. Kellen için suikastçiler yollayacağını biliyorsun.
qstr_I_did_not_know_your_|Planlarını bilmiyorum. Doccinga benden yardım istedi ve ben de gittim.  (Sakin)
qstr_Calm_down_and_tell_me|Sakin ol ve bana sorunun ne olduğunu söyle. Medeniz insanlarız. (Hüzünlü)
qstr_There_is_only_one_tr|Tek bir hain var o da sensin. Allah'ın belası! Bu sana pahalıya patlayacak.(Fevri)
qstr_These_Vikings_were_f|Bu Vikingler az sayıda ve güçsüzler. Ona tahtı alması için yardım ettiğinden tam bir aptalsın. (İyimser)
qstr_Note_3:_You_chose_no|Not 3: Sana ihanet edip Sven'in patronu {s11} ile ittifak olmasına rağmen {s9} ile düşman olmamayı seçtin.
qstr_Note_3:_You_chose_to_b|Note 3: You chose to become an enemy of {s9} for his betrayal and alliance with {s11}, Sven Bull Neck's patron. You know he will send assassins for your head.
qstr_Note_3:_You_chose_not|Not 3: Sana ihanet edip Sven'in patronu {s11} ile ittifak olmasına rağmen {s9} ile düşman olmamayı seçtin.
qstr_Leave_Friese:_Your_r|Friese'den ayrıl: Soylu ile ilişkin kötü bitti. Artık düşmansınız. Ardından suikastçiler yollayacak ve yoluna çıkarsan merhamet göstermeyecek.
qstr_Leave_Friese._Your_r|Friese'den ayrıl. Soylu ile ilişkin kötü bitti. Seni tahta geçmesi için yaptığı planlarını bozmakla suçluyor. Uzun bir süre yoluna çıkmamak en iyisi -- ya da tekrar dost olana kadar.
qstr_You_were_wrong._Thes|Yanıldın. Bu adamlar köyü alıp yağmalayacaklar sonra da Danimarka'dan daha fazla birlik bekleyeceklerdi. Bu artık mümkün değil. Hayallerimi yıktın. Sigurd 'Snake in the Eye' benim bir hain olduğumu düşünecek ve senin yüzünden kellemi isteyecek. Git buradan! Artık burada istenmiyorsun. Eğer karşılaşırsak sinirlerime hakim olup seni öldürmeyeceğime söz veremem. ^^Friese'den ayrılmanı öneririm.
qstr_There_s_nothing_to_t|Konuşacak bir şey yok. Bu adamlar köyü alıp yağmalayacaklar sonra da Danimarka'dan daha fazla birlik bekleyeceklerdi. Bu artık mümkün değil. Hayallerimi yıktın. Sigurd 'Snake in the Eye' benim bir hain olduğumu düşünecek ve senin yüzünden kellemi isteyecek. Git buradan! Artık burada istenmiyorsun. Eğer karşılaşırsak sinirlerime hakim olup seni öldürmeyeceğime söz veremem. ^^Friese'den ayrılmanı öneririm.
qstr_Leave_Friese._Your_re|Friese'den ayrıl. Soylu ile ilişkin kötü bitti. Seni tahta geçmesi için yaptığı planlarını bozmakla suçluyor. Uzun bir süre yoluna çıkmamak en iyisi -- ya da tekrar dost olana kadar.
qstr_You_are_bold_rat_to_|Yaptıklarından sonra hala benimle bu şekilde konuştuğun için cesur ve hain olduğunu düşünüyorum. Hizmetlerin için sana birkaç gün veriyorum. Sonra kellene bir paha biçim ardından suikastçiler salacağım. Tek gözün açık ve yastığının altında bir bıçakla uyumak zorunda kalacaksın. ^Friese'den ayrılmaz da karşılaşırsak seni kendi ellerimle öldüreceğim.
qstr_Leave_Friese._Your_rel|Friese'den ayrıl: Soylu ile ilişkin kötü bitti. Artık düşmansınız. Ardından suikastçiler yollayacak ve yoluna çıkarsan merhamet göstermeyecek.
qstr_No_you_are_a_fool._T|Hayır, tam bir aptalsın. Bu adamlar köyü alıp yağmalayacaklar sonra da Danimarka'dan daha fazla birlik bekleyeceklerdi. Bu artık mümkün değil. Hayallerimi yıktın. Sigurd 'Snake in the Eye' benim bir hain olduğumu düşünecek ve senin yüzünden kellemi isteyecek. Hizmetlerin için sana birkaç gün veriyorum. Sonra kellene bir paha biçim ardından suikastçiler salacağım. Tek gözün açık ve yastığının altında bir bıçakla uyumak zorunda kalacaksın.^Friese'den ayrılmaz da karşılaşırsak seni kendi ellerimle öldüreceğim.
qstr_Investigate_events_i|{s3}'te olayları araştır.
qstr_Help_defend_{s3}.|{s3}'ü savunmaya yardım et.
qstr_The_king_does_not_be|Kral sana inanmaz. İhanet için kanıt bulman gerekir. Belki {s3}{.den} Thonkrik sana yardım edebilir.
qstr_It_seems_you_will_not|Kralın yardımını alamayacaksın gibi görünüyor. Doğrudan {s11} 'Snake in the Eye' ile konuşmalısın. 
qstr_{s10}_won_t_support_y|{s10} seni {s9} ile desteklemiyor.
qstr_I_did_not_want_to_ki| Atli'yı öldürmek istemedim ama başka şansım yoktu. (Sakin)
qstr_I_am_aware_of_the_se|Bu tehlikenin farkındayım. Bana hatırlatmana gerek yok. (Hüzünlü)
qstr_I_did_this_for_you._|Bunu senin için yaptım. Ben olmasam tahtı almak için mektup Sigurd'un eline geçerdi. (Fevri)
qstr_Come_on_sire_I_left_|Hadi ama, hiç tanık bırakmadım. Kurul beni hiçbir şey için suçlayamaz. (İyimser)
qstr_I_see._Well_it_is_yo|Anladım. Pekala. O senin boynun.
qstr_Well_if_Ulf_doesn_t_|Pekala, eğer Ulf senin aleyhine şahitlik etmezse ve bazı soylular seni desteklerse belki bir şansın olabilir. 
qstr_Mark_my_words_{reg59|Sözlerimi iyi dinle {reg59?woman:man}. Eğer Sigurd tahta geçerse hayatının bir anlamı kalmayacak. Sadece kendi çıkarlarını korumaya çalışırken bana benim için neler yaptığını söyleme.
qstr_Remember_that_I_am_t|Benle konuşurken kralın ben olduğumu hatırla. 
qstr_It_seems_that_everyt|Talimin için her şey hazır görünüyor. {s10} kurulda senin olman gerekir gerekmez sana bir ulak yollayacak.
qstr_{s9}_wants_you_back_|{s9} sizi {s11} ile geri istiyor.
